,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
276,3,0.5,"(0.1, 0.4)",720,24,1,1,0,3,17239.0,1,0,1,8936.0
277,3,0.5,"(0.1, 0.4)",720,24,2,1,0,3,16590.0,1,0,1,4240.0
278,3,0.5,"(0.1, 0.4)",720,24,3,0,1,5,,1,0,1,6233.0
279,3,0.5,"(0.1, 0.4)",720,24,4,0,1,17,,1,0,33,9537.0
280,3,0.5,"(0.1, 0.4)",720,168,0,0,1,0,,1,0,0,6522.0
281,3,0.5,"(0.1, 0.4)",720,168,1,0,1,0,,1,0,0,9104.0
282,3,0.5,"(0.1, 0.4)",720,168,2,0,1,0,,1,0,0,4480.0
283,3,0.5,"(0.1, 0.4)",720,168,3,0,1,0,,1,0,0,6425.0
284,3,0.5,"(0.1, 0.4)",720,168,4,0,1,1,,1,0,4,11937.0
285,3,0.5,"(0.1, 0.4)",2160,24,0,1,0,5,10549.0,1,0,0,4002.0
286,3,0.5,"(0.1, 0.4)",2160,24,1,1,0,0,13255.0,1,0,0,18848.0
287,3,0.5,"(0.1, 0.4)",2160,24,2,1,0,0,1446.0,1,0,0,4240.0
288,3,0.5,"(0.1, 0.4)",2160,24,3,1,0,5,10481.0,1,0,0,3905.0
289,3,0.5,"(0.1, 0.4)",2160,24,4,1,0,15,4696.0,1,0,58,16185.0
290,3,0.5,"(0.1, 0.4)",2160,168,0,1,0,1,14557.0,1,0,0,19626.0
291,3,0.5,"(0.1, 0.4)",2160,168,1,1,0,0,13519.0,1,0,0,19520.0
